id,clue,answer,month,year,day,created_at,updated_at
42058,52. Some trks.,SEMIS,02,1986,,2019-04-09 12:13:58.772-04,2019-04-09 12:13:58.772-04
31914,1. Passing fancy,PHASE,08,1979,,2019-04-09 12:13:41.902-04,2019-04-09 12:13:41.902-04
112638,"30. Slug, old-style",SMITE,10,1996,,2019-04-09 12:16:08.463-04,2019-04-09 12:16:08.463-04
77749,"37. ""There Is Nothin' Like ___""",ADAME,03,1988,,2019-04-09 12:15:08.663-04,2019-04-09 12:15:08.663-04
104312,9. Kind of badge,MERIT,08,1977,,2019-04-09 12:15:54.155-04,2019-04-09 12:15:54.155-04
133108,13. On one's guard,LEERY,10,1993,,2019-04-09 12:16:43.976-04,2019-04-09 12:16:43.976-04
33234,27. Louise and Turner,TINAS,07,1982,,2019-04-09 12:13:43.899-04,2019-04-09 12:13:43.899-04
17269,34. Biblical pause,SELAH,05,1977,,2019-04-09 12:13:13.525-04,2019-04-09 12:13:13.525-04
87687,33. Bolivian city,SUCRE,12,1978,,2019-04-09 12:15:24.793-04,2019-04-09 12:15:24.793-04
102717,8. Goose genus,ANSER,05,1986,,2019-04-09 12:15:51.465-04,2019-04-09 12:15:51.465-04
161321,89. Raring to go,EAGER,04,1988,,2019-04-09 12:17:42.557-04,2019-04-09 12:17:42.557-04
159057,5. Head-covering membranes,CAULS,04,1986,,2019-04-09 12:17:38.11-04,2019-04-09 12:17:38.11-04
123799,48. Particle,SPECK,06,1994,,2019-04-09 12:16:28.002-04,2019-04-09 12:16:28.002-04
148495,23. Beamed,RAYED,06,1978,,2019-04-09 12:17:16.529-04,2019-04-09 12:17:16.529-04
29013,61. Bear,BRUIN,01,1979,,2019-04-09 12:13:36.773-04,2019-04-09 12:13:36.773-04
16599,15. Homeric poem,ILIAD,02,1981,,2019-04-09 12:13:12.253-04,2019-04-09 12:13:12.253-04
155665,62. Cogitative group,PANEL,01,1988,,2019-04-09 12:17:30.497-04,2019-04-09 12:17:30.497-04
7215,20. Curved moldings,OGEES,01,1976,,2019-04-09 12:12:50.998-04,2019-04-09 12:12:50.998-04
36837,51. Grads,ALUMS,12,1980,,2019-04-09 12:13:49.856-04,2019-04-09 12:13:49.856-04
115969,35. Dressy headdress,TIARA,12,1978,,2019-04-09 12:16:14.356-04,2019-04-09 12:16:14.356-04
1337,62. Alluring one,SIREN,07,1976,,2019-04-09 12:12:33.794-04,2019-04-09 12:12:33.794-04
130601,56. Murphy or Albert,EDDIE,06,1984,,2019-04-09 12:16:39.569-04,2019-04-09 12:16:39.569-04
157056,11. Violinist Mischa,ELMAN,05,1985,,2019-04-09 12:17:33.258-04,2019-04-09 12:17:33.258-04
58095,24. Done in,SLAIN,12,1988,,2019-04-09 12:14:26.963-04,2019-04-09 12:14:26.963-04
187378,11. U.S.S.R. range,URALS,07,1979,,2019-04-09 12:18:35.32-04,2019-04-09 12:18:35.32-04
26109,48. Alluvial deposit,GEEST,07,1984,,2019-04-09 12:13:29.206-04,2019-04-09 12:13:29.206-04
